 6751 | H2E0000287    | f      | 00:24:40:00:04:a4 |                  2 |               |      27
 6752 | H2E0000288    | f      | 00:24:40:00:04:a5 |                  2 |               |      27
 6753 | H2E0000289    | f      | 00:24:40:00:04:a6 |                  2 |               |      27
 6754 | H2E0000290    | f      | 00:24:40:00:04:a7 |                  2 |               |      27
 6756 | H2E0000292    | f      | 00:24:40:00:04:a9 |                  2 |               |      27
 6757 | H2E0000293    | f      | 00:24:40:00:04:aa |                  2 |               |      27
 6758 | H2E0000294    | f      | 00:24:40:00:04:ab |                  2 |               |      27
 6759 | H2E0000295    | f      | 00:24:40:00:04:ac |                  2 |               |      27
 6760 | H2E0000296    | f      | 00:24:40:00:04:ad |                  2 |               |      27
 6761 | H2E0000297    | f      | 00:24:40:00:04:ae |                  2 |               |      27
 6762 | H2E0000298    | f      | 00:24:40:00:04:af |                  2 |               |      27
 6763 | H2E0000299    | f      | 00:24:40:00:04:b0 |                  2 |               |      27
 6764 | H2E0000300    | f      | 00:24:40:00:04:b1 |                  2 |               |      27
 6766 | H2E0000302    | f      | 00:24:40:00:04:b3 |                  2 |               |      27
 6767 | H2E0000303    | f      | 00:24:40:00:04:b4 |                  2 |               |      27
 6768 | H2E0000304    | f      | 00:24:40:00:04:b5 |                  2 |               |      27
 6769 | H2E0000305    | f      | 00:24:40:00:04:b6 |                  2 |               |      27
 6770 | H2E0000306    | f      | 00:24:40:00:04:b7 |                  2 |               |      27
 6771 | H2E0000307    | f      | 00:24:40:00:04:b8 |                  2 |               |      27
 6772 | H2E0000308    | f      | 00:24:40:00:04:b9 |                  2 |               |      27
 6773 | H2E0000309    | f      | 00:24:40:00:04:ba |                  2 |               |      27
 6774 | H2E0000310    | f      | 00:24:40:00:04:bb |                  2 |               |      27
 6776 | H2E0000312    | f      | 00:24:40:00:04:bd |                  2 |               |      27
 6777 | H2E0000313    | f      | 00:24:40:00:04:be |                  2 |               |      27
 6778 | H2E0000314    | f      | 00:24:40:00:04:bf |                  2 |               |      27
 6779 | H2E0000315    | f      | 00:24:40:00:04:c0 |                  2 |               |      27
 6780 | H2E0000316    | f      | 00:24:40:00:04:c1 |                  2 |               |      27
 6781 | H2E0000317    | f      | 00:24:40:00:04:c2 |                  2 |               |      27
 6782 | H2E0000318    | f      | 00:24:40:00:04:c3 |                  2 |               |      27
 6783 | H2E0000319    | f      | 00:24:40:00:04:c4 |                  2 |               |      27
 6784 | H2E0000320    | f      | 00:24:40:00:04:c5 |                  2 |               |      27
 6786 | H2E0000322    | f      | 00:24:40:00:04:c7 |                  2 |               |      27
 6787 | H2E0000323    | f      | 00:24:40:00:04:c8 |                  2 |               |      27
 6788 | H2E0000324    | f      | 00:24:40:00:04:c9 |                  2 |               |      27
 6789 | H2E0000325    | f      | 00:24:40:00:04:ca |                  2 |               |      27
 6790 | H2E0000326    | f      | 00:24:40:00:04:cb |                  2 |               |      27
 6791 | H2E0000327    | f      | 00:24:40:00:04:cc |                  2 |               |      27
 6792 | H2E0000328    | f      | 00:24:40:00:04:cd |                  2 |               |      27
 6793 | H2E0000329    | f      | 00:24:40:00:04:ce |                  2 |               |      27
 6794 | H2E0000330    | f      | 00:24:40:00:04:cf |                  2 |               |      27
 6796 | H2E0000332    | f      | 00:24:40:00:04:d1 |                  2 |               |      27
 6797 | H2E0000333    | f      | 00:24:40:00:04:d2 |                  2 |               |      27
 6798 | H2E0000334    | f      | 00:24:40:00:04:d3 |                  2 |               |      27
 6799 | H2E0000335    | f      | 00:24:40:00:04:d4 |                  2 |               |      27
 6800 | H2E0000336    | f      | 00:24:40:00:04:d5 |                  2 |               |      27
 6801 | H2E0000337    | f      | 00:24:40:00:04:d6 |                  2 |               |      27
 6802 | H2E0000338    | f      | 00:24:40:00:04:d7 |                  2 |               |      27
 6803 | H2E0000339    | f      | 00:24:40:00:04:d8 |                  2 |               |      27
 6804 | H2E0000340    | f      | 00:24:40:00:04:d9 |                  2 |               |      27
 6806 | H2E0000342    | f      | 00:24:40:00:04:db |                  2 |               |      27
 6807 | H2E0000343    | f      | 00:24:40:00:04:dc |                  2 |               |      27
 6808 | H2E0000344    | f      | 00:24:40:00:04:dd |                  2 |               |      27
 6809 | H2E0000345    | f      | 00:24:40:00:04:de |                  2 |               |      27
 6810 | H2E0000346    | f      | 00:24:40:00:04:df |                  2 |               |      27
 6811 | H2E0000347    | f      | 00:24:40:00:04:e0 |                  2 |               |      27
 6812 | H2E0000348    | f      | 00:24:40:00:04:e1 |                  2 |               |      27
 6813 | H2E0000349    | f      | 00:24:40:00:04:e2 |                  2 |               |      27
 6814 | H2E0000350    | f      | 00:24:40:00:04:e3 |                  2 |               |      27
 6816 | H2E0000352    | f      | 00:24:40:00:04:e5 |                  2 |               |      27
 6817 | H2E0000353    | f      | 00:24:40:00:04:e6 |                  2 |               |      27
 6818 | H2E0000354    | f      | 00:24:40:00:04:e7 |                  2 |               |      27
 6819 | H2E0000355    | f      | 00:24:40:00:04:e8 |                  2 |               |      27
 1594 | H100000138    | f      | 00:24:40:80:01:26 |                  1 |             3 |      19
 1596 | H100000140    | f      | 00:24:40:80:01:28 |                  1 |             4 |      19
 1603 | H100000147    | f      | 00:24:40:80:01:2f |                  1 |             4 |      19
 1610 | H100000154    | f      | 00:24:40:80:01:36 |                  1 |             4 |      19
 1617 | H100000161    | f      | 00:24:40:80:01:3d |                  1 |             4 |      19
 5575 | H200000111    | f      | 00:24:40:00:00:0c |                  2 |             4 |      26
 1624 | H100000168    | f      | 00:24:40:80:01:44 |                  1 |             7 |      19
 1666 | H100000210    | f      | 00:24:40:80:01:6e |                  1 |             4 |      19
 1631 | H100000175    | f      | 00:24:40:80:01:4b |                  1 |             7 |      19
 1638 | H100000182    | f      | 00:24:40:80:01:52 |                  1 |             7 |      19
 1645 | H100000189    | f      | 00:24:40:80:01:59 |                  1 |             7 |      19
 1652 | H100000196    | f      | 00:24:40:80:01:60 |                  1 |             7 |      19
 1673 | H100000217    | f      | 00:24:40:80:01:75 |                  1 |             4 |      19
 1659 | H100000203    | f      | 00:24:40:80:01:67 |                  1 |             7 |      19
 1680 | H100000224    | f      | 00:24:40:80:01:7c |                  1 |             7 |      19
 1687 | H100000231    | f      | 00:24:40:80:01:83 |                  1 |             7 |      19
 1691 | H100000235    | f      | 00:24:40:80:01:87 |                  1 |             7 |      19
 1695 | H100000239    | f      | 00:24:40:80:01:8b |                  1 |             7 |      19
 1702 | H100000246    | f      | 00:24:40:80:01:92 |                  1 |             7 |      19
 1400 | H4E0000100    | f      |                   |                    |               |      17
  971 | H1E0000127    | f      | 00:24:40:80:00:1b |                  1 |             3 |      14
  969 | H1E0000125    | f      | 00:24:40:80:00:19 |                  1 |             3 |      14
  961 | H1E0000117    | f      | 00:24:40:80:00:11 |                  1 |             3 |      14
  994 | H1E0000150    | f      | 00:24:40:80:00:32 |                  1 |             3 |      14
  959 | H1E0000115    | f      | 00:24:40:80:00:0f |                  1 |             3 |      14
  973 | H1E0000129    | f      | 00:24:40:80:00:1d |                  1 |             3 |      14
  970 | H1E0000126    | f      | 00:24:40:80:00:1a |                  1 |             3 |      14
  985 | H1E0000141    | f      | 00:24:40:80:00:29 |                  1 |             3 |      14
  986 | H1E0000142    | f      | 00:24:40:80:00:2a |                  1 |             3 |      14
  987 | H1E0000143    | f      | 00:24:40:80:00:2b |                  1 |             3 |      14
  955 | H1E0000111    | f      | 00:24:40:80:00:0b |                  1 |             3 |      14
  958 | H1E0000114    | f      | 00:24:40:80:00:0e |                  1 |             3 |      14
  946 | H1E0000102    | f      | 00:24:40:80:00:02 |                  1 |               |      14
  947 | H1E0000103    | f      | 00:24:40:80:00:03 |                  1 |               |      14
  948 | H1E0000104    | f      | 00:24:40:80:00:04 |                  1 |               |      14
  949 | H1E0000105    | f      | 00:24:40:80:00:05 |                  1 |               |      14
  950 | H1E0000106    | f      | 00:24:40:80:00:06 |                  1 |               |      14
  953 | H1E0000109    | f      | 00:24:40:80:00:09 |                  1 |               |      14
  954 | H1E0000110    | f      | 00:24:40:80:00:0a |                  1 |               |      14
  956 | H1E0000112    | f      | 00:24:40:80:00:0c |                  1 |               |      14
  957 | H1E0000113    | f      | 00:24:40:80:00:0d |                  1 |               |      14
  960 | H1E0000116    | f      | 00:24:40:80:00:10 |                  1 |               |      14
  962 | H1E0000118    | f      | 00:24:40:80:00:12 |                  1 |               |      14
  963 | H1E0000119    | f      | 00:24:40:80:00:13 |                  1 |               |      14
  964 | H1E0000120    | f      | 00:24:40:80:00:14 |                  1 |               |      14
  965 | H1E0000121    | f      | 00:24:40:80:00:15 |                  1 |               |      14
  967 | H1E0000123    | f      | 00:24:40:80:00:17 |                  1 |               |      14
  968 | H1E0000124    | f      | 00:24:40:80:00:18 |                  1 |               |      14
  972 | H1E0000128    | f      | 00:24:40:80:00:1c |                  1 |               |      14
  974 | H1E0000130    | f      | 00:24:40:80:00:1e |                  1 |               |      14
  975 | H1E0000131    | f      | 00:24:40:80:00:1f |                  1 |               |      14
  976 | H1E0000132    | f      | 00:24:40:80:00:20 |                  1 |               |      14
  977 | H1E0000133    | f      | 00:24:40:80:00:21 |                  1 |               |      14
  978 | H1E0000134    | f      | 00:24:40:80:00:22 |                  1 |               |      14
  979 | H1E0000135    | f      | 00:24:40:80:00:23 |                  1 |               |      14
  992 | H1E0000148    | f      | 00:24:40:80:00:30 |                  1 |             3 |      14
  988 | H1E0000144    | f      | 00:24:40:80:00:2c |                  1 |             3 |      14
  984 | H1E0000140    | f      | 00:24:40:80:00:28 |                  1 |               |      14
  945 | H1E0000101    | f      | 00:24:40:80:00:01 |                  1 |             4 |      14
